gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,reading_score,writing_score,math_score,science_score,history_score,attendance_pct
male,group A,bachelor's degree,standard,completed,72,74,75,78,76,95
female,group B,master's degree,standard,completed,95,93,90,91,89,98
male,group C,some college,free/reduced,none,65,64,68,70,65,85
female,group D,high school,standard,completed,80,82,85,83,79,92
male,group E,associate's degree,free/reduced,completed,70,75,82,80,78,90
female,group A,some high school,free/reduced,none,60,62,65,67,64,75
male,group B,high school,standard,none,68,70,72,71,69,88
female,group C,bachelor's degree,standard,completed,82,85,89,88,84,95
male,group D,master's degree,free/reduced,completed,75,78,80,79,77,92
female,group E,some college,standard,none,73,76,78,79,75,90 
