iter	Passed	Remaining
0	1	192
1	3	172
2	4	155
3	5	138
4	7	135
5	8	131
6	9	127
7	10	123
8	11	118
9	12	116
10	13	112
11	15	111
12	16	109
13	18	110
14	19	109
15	20	106
16	21	106
17	23	104
18	23	102
19	24	99
20	25	97
21	26	95
22	27	92
23	28	90
24	29	89
25	30	88
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	49	70
41	49	68
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	56	60
48	57	59
49	58	58
50	59	56
51	60	55
52	61	54
53	63	53
54	63	52
55	64	50
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	76	37
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	23
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
